place_name,rows,avg_rating,sentiment_distribution
人从众厚切牛排(台北復興店),20,3.4,"{'positive': 12, 'negative': 8}"
仁里居,20,4.35,"{'positive': 18, 'negative': 2}"
佐佧義式窯烤披薩屋,20,4.75,{'positive': 20}
何平小館（荷萍小館）,20,3.6,"{'positive': 12, 'negative': 8}"
佛光山紫竹林滴水坊,20,4.35,"{'positive': 18, 'negative': 2}"
佬窩好湯養生餐廳,20,2.4,"{'negative': 14, 'positive': 6}"
佳賀洋行菸酒專賣店信義店-大摩/麥卡倫/蘇格登/格蘭利威/山崎,20,4.6,"{'positive': 18, 'negative': 2}"
佳齡黑豬肉手工水餃,1,4.0,{'positive': 1}
來賓 印度餐廳和酒吧,20,4.8,"{'positive': 19, 'negative': 1}"
便當人台北大安店 I`M BENTO,20,3.6,"{'positive': 12, 'negative': 8}"
俄羅斯城堡,40,4.325,"{'positive': 34, 'negative': 6}"
健康滿溢廚房,20,3.15,"{'negative': 10, 'positive': 10}"
偷飯賊 遠百信義A13店,20,3.8,"{'positive': 14, 'negative': 6}"
傷心酒店HEARTBREAK CLUB,20,4.7,"{'positive': 18, 'negative': 2}"
儂特利LONTALAE-仁愛店,20,4.15,"{'positive': 16, 'negative': 4}"
優先串烤台北大安復興南店,19,4.526315789473684,"{'positive': 17, 'negative': 2}"
優卡輕食 You Can Fresh 南棟員工餐廳｜此為員工餐廳，非本棟人員僅供企業訂單外送｜,20,4.6,"{'positive': 19, 'negative': 1}"
元味料理,20,4.95,{'positive': 20}
元氣家族麵飯館(大安店)｜傳統小吃｜餐廳｜推薦｜台灣美食｜學生聚餐｜平價｜小吃｜麵店｜大安捷運美食,20,4.15,"{'positive': 17, 'negative': 3}"
元珍食堂,20,4.35,"{'positive': 15, 'negative': 5}"
光一肆號,40,4.35,"{'positive': 33, 'negative': 7}"
光司DATE 義大利麵 大安店,20,4.2,"{'positive': 16, 'negative': 4}"
光地•ヒカリチ(早午餐/手作/三明治/蛋餅/下午茶甜點/咖啡/義大利麵）,20,4.8,{'positive': 20}
光復牛肉麵・大安捷運站,20,4.05,"{'positive': 16, 'negative': 4}"
全國健康素食 大安忠孝店,20,3.05,"{'negative': 11, 'positive': 9}"
全國食養健康素食自助餐 大安復興店,20,3.7,"{'positive': 14, 'negative': 6}"
全家便利商店 芳興店,9,5.0,{'positive': 9}
八方雲集 大安二店,20,2.55,"{'negative': 13, 'positive': 7}"
八方雲集-敦化北店,20,2.75,"{'negative': 12, 'positive': 8}"
八色烤肉mini 台北101店,20,3.1,"{'negative': 11, 'positive': 9}"
公館,40,4.5,"{'positive': 38, 'negative': 2}"
公館-咖哩先生,40,4.65,"{'positive': 36, 'negative': 4}"
公館商圈,40,4.4,"{'positive': 35, 'negative': 5}"
公館清蒸肉圓,40,4.25,"{'positive': 34, 'negative': 6}"
公館薪僑園水源婚宴會館,60,4.183333333333334,"{'positive': 52, 'negative': 8}"
公館食堂,40,4.35,"{'positive': 34, 'negative': 6}"
六廚川客料理,20,4.3,"{'positive': 17, 'negative': 3}"
六星便當 松山民權店(日照中心便當) (月結便當)(會議便當)(團膳便當),20,2.95,"{'negative': 10, 'positive': 10}"
典藏咖啡 - 北教大店,20,3.65,"{'positive': 12, 'negative': 8}"
冠京華,20,4.4,"{'positive': 18, 'negative': 2}"
冰糖茶店,20,2.95,"{'positive': 10, 'negative': 10}"
凱林鐵板燒 台北101店,20,4.0,"{'positive': 17, 'negative': 3}"
刁民-酸菜魚 信義店,20,4.1,"{'positive': 15, 'negative': 5}"
初胖鐵板吐司-新莊輔大店,20,4.65,"{'positive': 19, 'negative': 1}"
初魚 鉄板料亭-民生店,20,4.7,{'positive': 20}
利休日本料理 (Rikyu Sushi & Kappo),20,4.2,"{'positive': 17, 'negative': 3}"
劉家水煎包,20,3.4,"{'negative': 13, 'positive': 7}"
劉家涼麵-514輔大店,20,4.7,"{'positive': 19, 'negative': 1}"
劉家飯糰,20,3.95,"{'positive': 16, 'negative': 4}"
劉山東小吃店,20,4.45,"{'positive': 18, 'negative': 2}"
加分100%浜中特選昆布鍋物 忠孝店,20,4.7,{'positive': 20}
勁牛肉麵館,20,4.15,"{'positive': 15, 'negative': 5}"
勝博殿 劍南店,20,4.45,"{'positive': 18, 'negative': 2}"
包仔的店,20,3.65,"{'positive': 13, 'negative': 7}"
北七小廚房｜雞腿排丼飯專門店,17,4.529411764705882,"{'positive': 15, 'negative': 2}"
北北車魯肉飯,20,3.85,"{'positive': 12, 'negative': 8}"
